age,account_type,city_tier,tenure_days,account_balance,avg_monthly_spend,avg_txn_amount,avg_txn_per_day,usual_txn_hour,txn_type,txn_amount,txn_hour,txn_day_of_week,is_weekend,amount_to_avg_ratio,balance_drain_pct,hour_anomaly,velocity_24hr,new_txn_type_flag,large_round_amt_flag,days_since_last_txn,prior_fraud_complaint,fraud_type,is_fraud,account_type_enc,txn_type_enc,age_group
69,Salary,3,810,78222,19433,1216,2,19,IMPS,372,21,1,0,0.31,0.48,0,2,0,0,0,0,None,0,1,4,60+
64,Savings,1,2983,150275,12107,1157,3,15,CASH_OUT,548,12,5,1,0.47,0.36,0,1,0,0,1,0,None,0,2,2,60+
22,Salary,1,222,101407,15922,1245,4,21,UPI,1862,22,2,0,1.49,1.84,0,2,0,0,1,0,None,0,1,6,18-25
41,Savings,3,3382,58377,15107,860,2,19,NEFT,48296,0,4,0,50.0,82.73,1,4,1,0,1,0,Account_Takeover,1,2,5,41-60
21,Salary,3,4402,72574,18477,1114,2,11,BILL_PAY,440,8,0,0,0.39,0.61,0,2,0,0,0,0,None,0,1,0,18-25
47,Salary,1,2417,155230,43470,2310,1,12,CASH_OUT,5248,14,6,1,2.27,3.38,0,3,0,0,0,0,None,0,1,2,41-60
54,Savings,1,3920,152856,31514,3609,1,15,UPI,2848,16,3,0,0.79,1.86,0,1,0,0,0,0,None,0,2,6,41-60
24,Savings,2,2116,146502,18616,1202,1,13,DEBIT_CARD,2727,14,5,1,2.27,1.86,0,1,0,0,1,0,None,0,2,3,18-25
19,Salary,2,518,186082,19106,2400,3,11,CASH_OUT,4463,12,3,0,1.86,2.4,0,1,0,0,1,0,None,0,1,2,18-25
22,Savings,1,3932,83214,9237,628,4,14,UPI,569,11,0,0,0.9,0.68,0,3,0,0,3,0,None,0,2,6,18-25
64,Savings,1,4894,85704,15754,2421,2,11,UPI,3963,11,5,1,1.64,4.62,0,1,0,0,1,0,None,0,2,6,60+
54,Savings,1,1249,140143,8593,464,4,9,NEFT,422,8,2,0,0.91,0.3,0,4,0,0,2,0,None,0,2,5,41-60
47,Savings,2,527,111962,31304,3959,2,14,UPI,7187,14,2,0,1.81,6.42,0,1,0,0,0,0,None,0,2,6,41-60
62,Salary,2,2972,76159,17580,1562,4,17,UPI,486,13,5,1,0.31,0.64,0,3,0,0,1,0,None,0,1,6,60+
19,Salary,1,3525,198456,21924,1852,4,8,IMPS,3804,9,6,1,2.05,1.92,0,2,0,0,0,0,None,0,1,4,18-25
21,Savings,1,2978,169775,45626,3046,5,12,NEFT,7093,10,6,1,2.33,4.18,0,2,0,0,0,0,None,0,2,5,18-25
49,Savings,1,1104,152353,50335,5204,5,9,CASH_OUT,1580,13,0,0,0.3,1.04,0,1,0,0,0,0,None,0,2,2,41-60
55,Savings,1,1906,11826,2849,175,1,13,UPI,334,11,1,0,1.9,2.82,0,3,0,0,2,0,None,0,2,6,41-60
56,Savings,3,3725,25389,5950,644,3,8,IMPS,1341,9,4,0,2.08,5.28,0,1,1,0,0,0,None,0,2,4,41-60
22,Savings,1,3282,48565,10137,576,2,12,UPI,437,11,2,0,0.76,0.9,0,2,0,0,0,0,None,0,2,6,18-25
37,Savings,1,879,299744,68512,3693,2,14,DEBIT_CARD,10000,0,6,1,2.71,3.34,1,4,0,1,0,1,Card_Skimming,1,2,3,26-40
64,Salary,3,4292,65352,8674,825,1,21,CASH_OUT,437,23,1,0,0.53,0.67,0,1,0,0,1,0,None,0,1,2,60+
59,Savings,3,1539,250417,55391,4429,1,9,NEFT,237338,0,0,0,50.0,94.78,1,4,1,0,2,0,Account_Takeover,1,2,5,41-60
55,Savings,1,2372,51244,5335,480,3,11,IMPS,327,12,5,1,0.68,0.64,0,1,0,0,3,0,None,0,2,4,41-60
27,Savings,1,4817,199525,12435,825,2,20,UPI,842,18,1,0,1.02,0.42,0,1,0,0,1,0,None,0,2,6,26-40
26,Salary,2,1901,116665,12459,1264,1,14,IMPS,2054,15,5,1,1.62,1.76,0,4,0,0,3,0,None,0,1,4,26-40
22,Current,1,4259,455948,156407,8466,2,14,NEFT,3787,13,1,0,0.45,0.83,0,3,0,0,1,0,None,0,0,5,18-25
36,Salary,1,1806,99364,20376,1636,2,16,UPI,980,16,2,0,0.6,0.99,0,2,0,0,1,0,None,0,1,6,26-40
51,Salary,1,2960,81274,14190,1713,2,20,NEFT,1313,21,0,0,0.77,1.62,1,2,1,0,7,0,None,0,1,5,41-60
29,Savings,1,3898,159076,11725,2300,1,13,UPI,2218,12,3,0,0.96,1.39,0,1,0,0,2,0,None,0,2,6,26-40
55,Current,2,2323,204104,24676,1835,1,12,UPI,23408,19,4,0,12.75,11.47,1,1,1,0,2,0,Phishing,1,0,6,41-60
23,Salary,2,3438,90685,8789,616,1,21,IMPS,902,21,0,0,1.46,0.99,0,2,0,0,1,0,None,0,1,4,18-25
59,Salary,3,780,59667,10250,927,1,9,UPI,3981,13,3,0,4.29,6.67,1,1,1,0,2,0,Phishing,1,1,6,41-60
47,Savings,2,1733,159752,20762,2983,2,19,BILL_PAY,7028,22,0,0,2.36,4.4,0,1,0,0,0,0,None,0,2,0,41-60
68,Savings,1,3000,40848,11923,730,2,17,UPI,1135,15,0,0,1.55,2.78,0,2,0,0,14,0,None,0,2,6,60+
34,Salary,3,4310,16130,1488,81,2,21,UPI,124,23,3,0,1.51,0.77,0,2,0,0,1,0,None,0,1,6,26-40
52,Salary,1,3296,143492,32812,3515,1,10,CASH_OUT,3633,10,2,0,1.03,2.53,0,4,0,0,1,0,None,0,1,2,41-60
44,Current,1,494,493290,126312,8786,2,21,BILL_PAY,4751,19,5,1,0.54,0.96,0,1,0,0,3,0,None,0,0,0,41-60
35,Savings,1,735,282141,60141,6136,1,12,NEFT,134847,18,2,0,21.97,47.79,1,3,1,0,0,1,Unauthorized_Transfer,1,2,5,26-40
28,Salary,1,1269,157642,33630,2967,4,21,IMPS,2055,19,6,1,0.69,1.3,0,1,0,0,2,0,None,0,1,4,26-40
60,Savings,2,4022,113375,39518,3545,3,18,UPI,4570,13,5,1,1.29,4.03,0,1,0,0,1,0,None,0,2,6,41-60
31,Savings,3,3852,151588,20586,2695,3,12,CASH_OUT,2933,15,4,0,1.09,1.93,0,4,0,0,7,0,None,0,2,2,26-40
29,Savings,2,223,167792,53392,3120,1,14,BILL_PAY,7088,15,5,1,2.27,4.22,0,1,0,0,0,0,None,0,2,0,26-40
46,Savings,1,1587,170156,55835,8103,2,14,BILL_PAY,15694,14,0,0,1.94,9.22,0,2,0,0,2,0,None,0,2,0,41-60
50,Savings,2,699,84253,12304,678,1,13,IMPS,1677,15,1,0,2.47,1.99,0,3,0,0,1,0,None,0,2,4,41-60
19,Salary,1,1473,4740,1526,146,1,15,BILL_PAY,78,18,4,0,0.53,1.65,0,1,0,0,1,0,None,0,1,0,18-25
62,Salary,1,3757,85348,17753,1571,2,13,UPI,1567,11,1,0,1.0,1.84,0,2,0,0,1,0,None,0,1,6,60+
34,Current,1,4893,212688,68463,7633,2,15,UPI,9660,14,0,0,1.27,4.54,0,2,0,0,1,0,None,0,0,6,26-40
53,Savings,2,1337,32507,3447,242,1,9,BILL_PAY,163,7,0,0,0.67,0.5,0,2,0,0,0,0,None,0,2,0,41-60
56,Salary,1,4878,187571,29271,2712,1,19,UPI,2848,15,5,1,1.05,1.52,0,3,0,0,7,0,None,0,1,6,41-60
29,Savings,1,3482,123439,31262,6800,3,17,UPI,7989,15,0,0,1.17,6.47,0,1,0,0,1,0,None,0,2,6,26-40
29,Savings,1,4975,24549,6120,1146,2,18,UPI,670,17,5,1,0.58,2.73,0,1,0,0,1,0,None,0,2,6,26-40
54,Savings,1,1054,135074,35992,2061,3,10,BILL_PAY,2948,10,3,0,1.43,2.18,0,1,0,0,3,0,None,0,2,0,41-60
67,Current,3,2042,279923,76185,4239,3,13,NEFT,4607,8,2,0,1.09,1.65,0,1,0,0,2,0,None,0,0,5,60+
42,Current,1,1178,384365,132270,11633,2,17,DEBIT_CARD,28046,22,4,0,2.41,7.3,0,2,0,0,14,0,None,0,0,3,41-60
60,Savings,1,1982,200405,17681,1335,3,14,IMPS,136370,2,4,0,50.0,68.05,0,3,1,0,0,0,Account_Takeover,1,2,4,41-60
59,Savings,2,767,192916,29950,1670,2,13,UPI,513,13,6,1,0.31,0.27,0,2,0,0,0,0,None,0,2,6,41-60
54,Salary,1,2658,41935,8556,728,3,21,UPI,380,23,2,0,0.52,0.91,0,3,0,0,3,0,None,0,1,6,41-60
33,Salary,1,2094,85673,21001,1902,1,11,DEBIT_CARD,2812,10,0,0,1.48,3.28,0,1,0,0,0,0,None,0,1,3,26-40
47,Savings,2,4201,175093,21176,2847,1,8,CASH_OUT,5457,9,3,0,1.92,3.12,0,4,1,0,2,0,None,0,2,2,41-60
19,Savings,1,478,83169,5415,319,4,17,UPI,303,15,3,0,0.95,0.36,0,4,1,0,0,0,None,0,2,6,18-25
37,Savings,3,1994,112505,15279,1214,2,12,CASH_OUT,1912,13,1,0,1.57,1.7,0,2,0,0,1,0,None,0,2,2,26-40
66,Savings,2,2482,66247,5079,406,3,13,BILL_PAY,991,14,3,0,2.43,1.5,0,1,0,0,1,0,None,0,2,0,60+
45,Savings,3,4471,190931,37913,5920,1,15,IMPS,9532,13,6,1,1.61,4.99,0,2,0,0,2,0,None,0,2,4,41-60
48,Savings,3,2731,43438,12843,1410,4,14,BILL_PAY,785,16,0,0,0.56,1.81,0,1,0,0,2,0,None,0,2,0,41-60
42,Savings,3,1978,154900,50713,7498,2,20,CASH_OUT,2974,18,6,1,0.4,1.92,0,1,0,0,1,0,None,0,2,2,41-60
49,Salary,3,4012,36296,6112,386,1,19,UPI,281,18,5,1,0.73,0.77,0,2,0,0,0,0,None,0,1,6,41-60
62,Savings,1,2798,33032,8990,626,1,12,IMPS,537,11,3,0,0.86,1.63,0,1,0,0,2,0,None,0,2,4,60+
46,Savings,2,2406,24700,1798,125,2,15,UPI,596,15,4,0,4.73,2.41,1,1,1,0,0,0,Phishing,1,2,6,41-60
44,Salary,2,4845,33788,3696,237,2,20,IMPS,374,21,3,0,1.57,1.11,0,2,0,0,0,0,None,0,1,4,41-60
31,Salary,2,4851,82956,17317,1024,5,15,UPI,1829,14,6,1,1.78,2.2,0,1,0,0,2,0,None,0,1,6,26-40
37,Savings,2,4731,287688,16364,1302,1,14,NEFT,183727,15,6,1,50.0,63.86,0,1,1,0,1,0,Unauthorized_Transfer,1,2,5,26-40
52,Savings,2,1196,96792,14876,2057,1,14,IMPS,84745,21,0,0,41.18,87.55,1,3,1,0,0,0,Unauthorized_Transfer,1,2,4,41-60
57,Salary,3,3067,122234,37288,8254,1,14,UPI,15803,10,6,1,1.91,12.93,0,2,0,0,7,0,None,0,1,6,41-60
19,Savings,2,3488,57348,18514,1508,2,19,NEFT,1462,18,5,1,0.97,2.55,0,1,0,0,1,0,None,0,2,5,18-25
38,Savings,2,843,94254,10171,1477,4,16,UPI,2469,14,4,0,1.67,2.62,0,1,0,0,0,0,None,0,2,6,26-40
42,Salary,3,1350,191156,26960,3194,3,12,UPI,4282,11,4,0,1.34,2.24,0,1,0,0,0,0,None,0,1,6,41-60
26,Savings,2,759,38582,10087,652,3,14,IMPS,436,14,1,0,0.67,1.13,0,1,0,0,0,0,None,0,2,4,26-40
41,Savings,3,2533,145719,49699,3958,1,14,IMPS,1758,13,0,0,0.44,1.21,0,3,0,0,1,0,None,0,2,4,41-60
42,Savings,3,897,144016,23885,2578,1,11,IMPS,98617,23,6,1,38.24,68.48,1,3,1,0,2,0,Account_Takeover,1,2,4,41-60
36,Current,1,1985,210352,13219,2333,2,13,IMPS,1975,15,2,0,0.85,0.94,0,1,0,0,0,0,None,0,0,4,26-40
24,Savings,2,840,15182,1785,173,1,20,DEBIT_CARD,72,16,0,0,0.41,0.47,0,3,0,0,0,0,None,0,2,3,18-25
53,Salary,1,2018,137054,7303,482,1,20,BILL_PAY,1076,23,6,1,2.23,0.79,0,1,0,0,3,0,None,0,1,0,41-60
42,Savings,3,2850,145573,40878,3579,2,20,UPI,7393,18,6,1,2.07,5.08,0,2,0,0,1,0,None,0,2,6,41-60
27,Salary,2,1087,163784,41390,2069,3,20,CASH_OUT,1214,15,5,1,0.59,0.74,0,1,0,0,0,0,None,0,1,2,26-40
43,Savings,3,4414,124022,13395,689,2,17,UPI,3347,14,1,0,4.85,2.7,0,1,0,0,2,0,Phishing,1,2,6,41-60
47,Savings,1,4339,49316,15839,809,1,14,UPI,1732,10,5,1,2.14,3.51,0,2,0,0,0,0,None,0,2,6,41-60
50,Salary,2,190,138635,43304,5365,3,10,UPI,75268,16,5,1,14.03,54.29,1,1,0,0,0,0,Phishing,1,1,6,41-60
53,Salary,2,2044,34757,3861,268,4,16,NEFT,196,16,6,1,0.73,0.56,0,1,0,0,0,0,None,0,1,5,41-60
37,Savings,3,4968,112100,35184,3037,3,8,UPI,3536,5,1,0,1.16,3.15,0,1,0,0,0,0,None,0,2,6,26-40
49,Salary,1,4797,48419,9183,1138,3,19,NEFT,2532,17,3,0,2.22,5.23,1,3,0,0,1,0,None,0,1,5,41-60
32,Savings,3,3037,125712,14178,823,3,17,IMPS,1195,18,4,0,1.45,0.95,0,2,0,0,1,0,None,0,2,4,26-40
31,Salary,2,4905,99083,21436,1294,2,13,BILL_PAY,2816,15,5,1,2.17,2.84,0,2,0,0,0,0,None,0,1,0,26-40
30,Savings,1,1783,131894,40282,7273,3,8,CASH_OUT,11031,7,1,0,1.52,8.36,0,1,0,0,1,0,None,0,2,2,26-40
55,Savings,2,46,4764,439,37,4,16,UPI,91,14,0,0,2.39,1.91,0,2,0,0,1,0,None,0,2,6,41-60
48,Current,1,1241,165440,52865,11115,1,13,UPI,82341,15,0,0,7.41,49.77,0,1,0,0,0,0,Unauthorized_Transfer,1,0,6,41-60
57,Savings,1,3441,161687,13658,1006,2,21,IMPS,428,22,4,0,0.43,0.26,0,2,0,0,1,0,None,0,2,4,41-60
33,Savings,2,2122,179956,53357,3394,1,14,IMPS,1480,17,5,1,0.44,0.82,0,1,1,0,2,0,None,0,2,4,26-40
62,Salary,1,2872,102755,16058,2662,2,10,NEFT,99639,22,0,0,37.42,96.97,1,3,0,0,1,0,Account_Takeover,1,1,5,60+
31,Savings,2,4883,55267,14594,1870,4,11,IMPS,822,12,3,0,0.44,1.49,0,2,0,0,2,0,None,0,2,4,26-40
45,Current,1,1712,494643,147804,7623,1,14,IMPS,5479,13,2,0,0.72,1.11,0,2,0,0,0,0,None,0,0,4,41-60
49,Savings,2,631,74639,21183,3949,1,12,NEFT,5329,9,0,0,1.35,7.14,0,1,0,0,0,0,None,0,2,5,41-60
52,Savings,1,1332,10190,1766,130,1,15,UPI,132,13,2,0,1.01,1.3,0,1,0,0,0,1,None,0,2,6,41-60
59,Savings,1,2410,169225,39524,2855,2,17,UPI,146407,18,3,0,50.0,86.52,0,1,1,0,1,0,Unauthorized_Transfer,1,2,6,41-60
52,Current,1,2826,459770,142316,13251,1,20,CASH_OUT,21085,20,1,0,1.59,4.59,0,1,0,0,3,0,None,0,0,2,41-60
34,Salary,1,4504,194772,52017,3542,1,8,DEBIT_CARD,6314,9,6,1,1.78,3.24,0,1,0,0,0,0,None,0,1,3,26-40
65,Salary,2,100,13217,1373,234,2,11,UPI,367,9,5,1,1.56,2.78,0,2,1,0,0,0,None,0,1,6,60+
54,Savings,1,4020,60175,10618,614,2,10,IMPS,1262,10,3,0,2.05,2.1,0,2,0,0,1,0,None,0,2,4,41-60
46,Savings,2,2252,166622,35684,3158,3,10,UPI,7538,10,2,0,2.39,4.52,0,1,0,0,1,1,None,0,2,6,41-60
19,Salary,1,1979,57973,7915,553,1,18,CASH_OUT,1333,17,0,0,2.41,2.3,1,1,1,0,0,0,None,0,1,2,18-25
35,Savings,1,114,63847,16344,868,3,16,CASH_OUT,603,13,5,1,0.69,0.94,1,3,0,0,1,0,None,0,2,2,26-40
40,Current,1,2190,114919,19144,1757,2,11,IMPS,109352,22,5,1,50.0,95.15,1,7,0,0,1,0,Account_Takeover,1,0,4,26-40
57,Savings,3,1840,21945,4373,491,3,17,IMPS,1216,17,3,0,2.47,5.54,0,2,0,0,1,0,None,0,2,4,41-60
23,Current,3,795,340927,71712,7410,1,20,UPI,15053,20,6,1,2.03,4.42,0,1,0,0,0,0,None,0,0,6,18-25
62,Savings,2,1330,91896,26010,4055,2,21,NEFT,7130,23,5,1,1.76,7.76,0,1,0,0,1,0,None,0,2,5,60+
67,Savings,1,567,75136,19978,2077,2,10,CASH_OUT,2427,9,5,1,1.17,3.23,0,1,0,0,0,0,None,0,2,2,60+
36,Salary,1,2005,60119,15021,2616,1,9,UPI,39077,2,6,1,14.93,65.0,1,5,1,0,2,0,SIM_Swap,1,1,6,26-40
50,Savings,1,2759,55509,16912,2178,4,20,DEBIT_CARD,1419,20,4,0,0.65,2.56,0,1,0,0,7,0,None,0,2,3,41-60
28,Salary,3,3136,151488,49150,5695,3,8,CASH_OUT,11660,9,4,0,2.05,7.7,0,4,0,0,2,0,None,0,1,2,26-40
45,Savings,3,3437,79359,10514,1161,2,19,UPI,2507,23,2,0,2.16,3.16,1,1,0,0,2,0,None,0,2,6,41-60
39,Savings,1,3603,119866,29281,2162,5,10,UPI,3047,12,3,0,1.41,2.54,0,1,0,0,1,0,None,0,2,6,26-40
66,Savings,2,1508,49089,11034,643,3,16,UPI,1332,19,0,0,2.07,2.71,0,1,0,0,1,0,None,0,2,6,60+
64,Savings,3,2554,111094,32577,3608,2,16,UPI,1900,15,5,1,0.53,1.71,0,2,0,0,2,0,None,0,2,6,60+
32,Savings,1,484,3860,1138,143,5,18,IMPS,174,17,5,1,1.21,4.51,0,2,0,0,7,0,None,0,2,4,26-40
40,Salary,1,2218,162337,32308,1633,1,13,UPI,2482,13,3,0,1.52,1.53,0,4,0,0,14,0,None,0,1,6,26-40
21,Salary,1,3786,176551,18122,1563,1,8,UPI,1570,8,1,0,1.0,0.89,1,2,0,0,0,0,None,0,1,6,18-25
68,Savings,2,2483,51177,6305,559,4,16,BILL_PAY,486,16,2,0,0.87,0.95,0,1,0,0,1,0,None,0,2,0,60+
34,Salary,1,4430,68466,7364,1477,2,8,NEFT,2695,7,1,0,1.82,3.94,0,1,0,0,14,0,None,0,1,5,26-40
55,Salary,1,1054,182030,55161,9617,1,17,NEFT,21306,18,0,0,2.22,11.7,0,3,0,0,0,0,None,0,1,5,41-60
42,Savings,2,2845,106463,12701,3078,1,9,IMPS,2516,9,4,0,0.82,2.36,0,2,0,0,2,0,None,0,2,4,41-60
64,Current,2,1111,133017,29647,1578,1,19,CASH_OUT,5000,3,4,0,3.17,3.76,1,4,1,1,0,0,Card_Skimming,1,0,2,60+
31,Savings,3,1275,98819,27410,1557,4,17,UPI,3393,18,1,0,2.18,3.43,0,3,1,0,0,0,None,0,2,6,26-40
